date,description,amount,balance,category
2024-04-22,FNB App Transfer To Trf,-4400.0,9107.17,Transfer
2024-04-22,FNB App Transfer From Trf,2000.0,11107.17,Transfer
2024-04-22,FNB App Transfer To Trf,-620.0,10487.17,Transfer
2024-04-22,FNB App Payment To Sakata 138 Bren Farms,-1370.0,9117.17,Payment
2024-04-20,POS Purchase Rebelo Agricultural,-7766.49,1350.68,Groceries
2024-04-23,FNB App Transfer From Trf,2000.0,3350.68,Transfer
2024-04-23,FNB App Transfer To Trf,-2000.0,1350.68,Transfer
2024-04-23,ADT Cash Deposit 00102001 Sales,1500.0,2850.68,Deposit
2024-04-23,ADT Cash Deposit 00102001 Sales,740.0,3590.68,Deposit
2024-04-23,Internet Trf From Trf,6000.0,9590.68,Transfer
2024-04-23,Internet Pmt To Rebelo Bren Farms,-5792.18,3798.5,Payment
2024-04-23,Electricity Prepaid Electricity 37246299566,-500.0,3298.5,Utilities
2024-04-23,FNB App Transfer To Trf,-600.0,2698.5,Transfer
2024-04-23,POS Purchase Charlie'S Place,-30.0,2668.5,Dining
2024-04-23,POS Purchase Charlie'S Place,-206.0,2462.5,Dining
2024-04-23,Fuel Purchase Total Douglasdale C,-1000.0,1462.5,Fuel
2024-04-24,FNB App Transfer From Trf,3000.0,4462.5,Transfer
2024-04-24,ADT Cash Deposit Vanderbi Sales,4810.0,9272.5,Deposit
2024-04-25,FNB App Transfer To Trf,-100.0,9172.5,Transfer
2024-04-25,ADT Cash Deposit Vanderbi Sales,2750.0,11922.5,Deposit
2024-04-25,Rtc Express Pmt To Brownie Spaying Vdk-14565,-2380.0,9542.5,Payment
2024-04-25,POS Purchase PNP Crp Douglasdale,-487.34,9055.16,Groceries
2024-04-26,FNB App Transfer To Trf.,-500.0,8555.16,Transfer
2024-04-26,FNB App Prepaid Airtime 0608429466,-89.0,8466.16,Utilities
2024-04-26,ADT Cash Deposit Vanderbi Sales,2700.0,11166.16,Deposit
2024-04-26,FNB App Transfer To Trf,-1200.0,9966.16,Transfer
2024-04-26,POS Purchase Total Douglasdale C,-118.2,9847.96,Groceries
2024-04-26,POS Purchase Yoco *Bernies,-750.0,9097.96,Dining
2024-04-26,POS Purchase Morningdew Holdings,-965.0,8132.96,Groceries
2024-04-29,ADT Cash Deposit Vanderbi Sales,700.0,8832.96,Deposit
2024-04-29,FNB App Transfer To Trf,-600.0,8232.96,Transfer
2024-04-29,FNB App Transfer From Trf,121.0,8353.96,Transfer
2024-04-29,Internet Trf From Trf,10000.0,18353.96,Transfer
2024-04-29,Rtc Credit Alex Roadhouse,2400.0,20753.96,Income
2024-04-29,Magtape Credit Kay,299.0,21052.96,Income
2024-04-29,POS Purchase N1 Grasmere,-24.0,21028.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,21004.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20980.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20956.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20932.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20908.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20884.96,Groceries
2024-04-29,POS Purchase N1 Grasmere,-24.0,20860.96,Groceries
2024-04-29,POS Purchase Engen Oaktree,-108.0,20828.96,Fuel
2024-04-29,POS Purchase Rebelo Agricultural,-2096.52,18232.44,Groceries
2024-04-29,Fuel Purchase Engen Oaktree,-800.0,17432.44,Fuel
2024-04-29,Fuel Purchase Total Douglasdale C,-800.0,16632.44,Fuel
2024-04-30,FNB App Transfer From Trf,40000.0,57032.44,Transfer
2024-04-30,ATM Cash,-4000.0,53032.44,ATM Withdrawal
2024-04-30,ATM Cash,-4000.0,49032.44,ATM Withdrawal
2024-04-30,ATM Cash,-4000.0,45032.44,ATM Withdrawal
2024-04-30,FNB App Transfer To Trf,-12000.0,33032.44,Transfer
2024-04-30,FNB App Transfer To Trf,-8000.0,25032.44,Transfer
2024-04-30,FNB App Payment To Reuben 400 123190044,-8376.0,16656.44,Payment
2024-04-30,FNB App Transfer To Trf,-11500.0,5156.44,Transfer
2024-04-30,FNB App Transfer From Trf,10000.0,15156.44,Transfer
2024-04-30,FNB App Rtc Pmt To Cabbage Seedlings Bren Farms,-7100.0,8056.44,Payment
2024-04-30,Magtape Debit Dotsure,-988.59,7067.85,Payment
2024-04-30,Fuel Purchase Sasol Olivedale,-600.0,6467.85,Fuel
2024-05-02,ADT Cash Deposit Vaal Mal Sales,1470.0,7937.85,Deposit
2024-05-02,FNB App Transfer From Trf,919.0,8856.85,Transfer
2024-05-02,FNB App Transfer To Trf,-3500.0,5356.85,Transfer
2024-05-02,FNB App Transfer To Trf,-200.0,5156.85,Transfer
2024-05-02,FNB App Prepaid Airtime 0608284480,-53.0,5103.85,Utilities
2024-05-02,FNB App Payment From Chie Makoni,680.0,5783.85,Income
2024-05-02,ADT Cash Deposit Vaal Mal Sales,4110.0,9893.85,Deposit
2024-05-02,FNB App Transfer From Trf,10500.0,20393.85,Transfer
2024-05-02,FNB App Rtc Pmt To Bren STD Bren FNB,-18000.0,2393.85,Payment
2024-05-02,FNB App Transfer From Trf,1591.0,3984.85,Transfer
2024-05-02,FNB App Payment To Morning Dew Bren Farms Pl,-1591.0,2393.85,Payment
2024-05-02,Magtape Debit Irepublic Bre001,-109.0,2284.85,Payment
2024-05-02,POS Purchase Charlie'S Place,-98.0,2186.85,Dining
2024-05-02,Fuel Purchase Highway Vaal Fillin,-300.0,1886.85,Fuel
2024-05-02,Fuel Purchase Sasol Olivedale,-600.0,1286.85,Fuel
2024-05-03,ADT Cash Deposit 00102001 Sales,4380.0,5666.85,Deposit
2024-05-04,ADT Cash Deposit Vaal Mal Sales,1900.0,7566.85,Deposit
2024-05-04,POS Purchase Ra Cellular,-1330.0,6236.85,Groceries
2024-05-06,FNB App Transfer To Trf,-550.0,5686.85,Transfer
2024-05-06,Internet Pmt To Water Testing 2405-06,-1910.0,3776.85,Utilities
2024-05-06,FNB App Transfer To Trf,-1200.0,2576.85,Transfer
2024-05-06,ADT Cash Deposit 00326006 Sales,5300.0,7876.85,Deposit
2024-05-06,ADT Cash Deposit 00326006 Sales,2620.0,10496.85,Deposit
2024-05-06,Magtape Credit Cabbage And Lettuc,3792.0,14288.85,Income
2024-05-06,Magtape Credit Dotsure,11199.67,25488.52,Income
2024-05-06,POS Purchase Morningdew Holdings,-199.0,25489.52,Groceries
2024-05-06,POS Purchase Morningdew Holdings,-832.4,24457.12,Groceries
2024-05-07,FNB App Rtc Pmt To Boxes 100 Bren Farms,-500.0,23957.12,Payment
2024-05-07,FNB App Transfer From Trf,250.0,24207.12,Transfer
2024-05-07,ADT Cash Deposit 00326006 Sales,5150.0,29357.12,Deposit
2024-05-07,ADT Cash Deposit Parys Sales,6900.0,36257.12,Deposit
2024-05-07,ADT Cash Deposit Parys Sales,1350.0,37607.12,Deposit
2024-05-07,FNB App Payment To Bren STD Bren FNB,-18000.0,19607.12,Payment
2024-05-07,FNB App Transfer To Trf,-560.0,19047.12,Transfer
2024-05-07,Magtape Credit Cabbage And Lettuc,1150.0,20197.12,Income
2024-05-07,POS Purchase Highway Vaal Fillin,-8.5,20188.62,Fuel
2024-05-07,POS Purchase Yoco *Bernies 2nd,-650.0,19538.62,Dining
2024-05-07,Fuel Purchase BP M2,-600.0,18938.62,Fuel
2024-05-08,FNB App Payment From Ali Parys,8550.0,27488.62,Income
2024-05-08,FNB App Transfer To Trf,-600.0,26888.62,Transfer
2024-05-09,FNB App Payment From Ali Parys,9000.0,35888.62,Income
2024-05-09,ADT Cash Deposit 09681001 Sales,6110.0,41998.62,Deposit
2024-05-09,ADT Cash Deposit 09681001 Sals,3200.0,45198.62,Deposit
2024-05-09,POS Purchase N1 Grasmere,-13.0,45185.62,Groceries
